outcome_id,study_id,population_id,contrast_id,condition_id,timing_level,modifier,analyte,domain,metric,auc_definition,window_min,timepoint_min,result_form,n,value,dispersion_type,dispersion_value,ci_low,ci_high,p_value,units_original,direction,comparator,data_status,source_provenance,notes
O0001,Bandin_2015,Bandin_2015_all,Bandin_lunch,Bandin_early,earlier,,glucose,glucose_auc,AUC above baseline,above baseline,150,,condition_summary,10,70,SD,32.9,,,,mmol/L×h (as printed),,,reported_table,Bandin_2015; PDF p4; Results/Figure 2,Absolute scale/unit label requires QA.
O0002,Bandin_2015,Bandin_2015_all,Bandin_lunch,Bandin_late,later,,glucose,glucose_auc,AUC above baseline,above baseline,150,,condition_summary,10,102.6,SD,30.8,,,,mmol/L×h (as printed),,,reported_table,Bandin_2015; PDF p4; Results/Figure 2,Absolute scale/unit label requires QA.
O0003,Bandin_2015,Bandin_2015_all,Bandin_lunch,,,,glucose,glucose_auc,mean difference,above baseline,150,,within_person_contrast,10,32.6,SE,7.587,,,0.002,mmol/L×h (as printed),later minus earlier,,derived,Bandin_2015; PDF p4; displayed means and paired p,SE derived from exact two-sided paired t-test p; see Derivations.
O0004,Bo_2015,Bo_2015_all,Bo_daypart,,,,glucose,glucose_auc,adjusted mean difference,reported AUC,180,,model_contrast,20,-1800.1,95% CI,,-2564.1,-1036,<0.001,mg/dL×h (as printed),morning minus evening,,reported_table,Bo_2015_primary; PDF p5; Table 2,Condition means are figure-only; reported adjusted contrast retained.
O0005,Bo_2015,Bo_2015_all,Bo_daypart,,,,insulin,insulin_auc,difference in log AUC,reported AUC,180,,model_contrast,20,-0.19,95% CI,,-0.3,-0.07,0.001,log scale,morning minus evening,,reported_table,Bo_2015_primary; PDF p5; Table 2,
O0006,Bo_2015,Bo_2015_all,Bo_daypart,,,,insulin,insulin_auc,AUC ratio,reported AUC,180,,ratio,20,0.83,95% CI,,0.74,0.93,0.001,ratio,morning/evening,,reported_table,Bo_2015_primary; PDF p5; Table 2,
O0007,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,Bravo_nonexercise,,,nonexercise; adherent,glucose,cgm_postprandial,CGM glucose iAUC difference,incremental,120,,within_person_contrast,11,-57,,,,,<0.002,mmol/L×2h (as printed),mid minus early,,reported_text,Bravo_Garcia_2024; PDF pp5–6; Results,No usable contrast precision reported.
O0008,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,Bravo_nonexercise,,,nonexercise; adherent,glucose,cgm_postprandial,CGM glucose iAUC difference,incremental,120,,within_person_contrast,11,-41,,,,,<0.02,mmol/L×2h (as printed),delayed minus early,,reported_text,Bravo_Garcia_2024; PDF pp5–6; Results,No usable contrast precision reported.
O0009,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,Bravo_exercise,,early,postmeal walking,glucose,cgm_postprandial,standardized exercise effect,,120,,model_contrast,10,0.35,95% CI,,-0.62,1.33,,standardized mean difference,exercise minus nonexercise,,reported_table,Bravo_Garcia_2024; PDF p7; exercise analysis,
O0010,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,Bravo_exercise,,mid,postmeal walking,glucose,cgm_postprandial,standardized exercise effect,,120,,model_contrast,10,-0.5,95% CI,,-1.46,0.44,,standardized mean difference,exercise minus nonexercise,,reported_table,Bravo_Garcia_2024; PDF p7; exercise analysis,
O0011,Bravo_Garcia_2024,Bravo_Garcia_2024_T2D,Bravo_exercise,,delayed,postmeal walking,glucose,cgm_postprandial,standardized exercise effect,,120,,model_contrast,10,0.37,95% CI,,-0.54,1.3,,standardized mean difference,exercise minus nonexercise,,reported_table,Bravo_Garcia_2024; PDF p7; exercise analysis,
O0012,Enomoto_2026,Enomoto_2026_all,Enomoto_day1,Enomoto_5h,earlier,day 1,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,5499.23,SD,2723.08,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0013,Enomoto_2026,Enomoto_2026_all,Enomoto_day1,Enomoto_1h,later,day 1,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,7050,SD,1619.51,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0014,Enomoto_2026,Enomoto_2026_all,Enomoto_day2,Enomoto_5h,earlier,day 2,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,6006.92,SD,2524.4,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0015,Enomoto_2026,Enomoto_2026_all,Enomoto_day2,Enomoto_1h,later,day 2,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,6605.77,SD,1754.07,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0016,Enomoto_2026,Enomoto_2026_all,Enomoto_day3,Enomoto_5h,earlier,day 3,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,6310.38,SD,2586.74,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
O0017,Enomoto_2026,Enomoto_2026_all,Enomoto_day3,Enomoto_1h,later,day 3,glucose,cgm_postprandial,dinner glucose iAUC,incremental,180,,condition_summary,13,5102.31,SD,1348.26,,,,mg/dL×min,,,reported_table,Enomoto_2026; PDF p7; Table 3,
