report_id,study_id,year,title,journal,DOI,report_role,availability
Bandin_2015_primary,Bandin_2015,2015,"Meal timing affects glucose tolerance, substrate oxidation and circadian-related variables: a randomized, crossover trial",International Journal of Obesity,10.1038/ijo.2014.182,primary outcomes,full text
Bo_2015_primary,Bo_2015,2015,Is the timing of caloric intake associated with variation in diet-induced thermogenesis and in the metabolic pattern? A randomized cross-over study,International Journal of Obesity,10.1038/ijo.2015.138,primary outcomes,full text
Bo_2017_secondary,Bo_2015,2017,"Effects of meal timing on changes in circulating epinephrine, norepinephrine, and acylated ghrelin concentrations: a pilot study",Nutrition & Diabetes,10.1038/s41387-017-0010-0,secondary hormone/metabolic outcomes,full text
Bravo_Garcia_2024_primary,Bravo_Garcia_2024,2024,Modifying the timing of breakfast improves postprandial glycaemia in people with type 2 diabetes: a randomised controlled trial,Diabetes & Metabolic Syndrome,10.1016/j.dsx.2024.103157,primary outcomes,full text
Enomoto_2026_primary,Enomoto_2026,2026,Effects of later dinner timing on subsequent metabolic function and nocturnal sleep in healthy young women,Journal of Physiological Anthropology,10.1186/s40101-026-00430-0,primary outcomes,full text
Garaulet_2022_primary,Garaulet_2022,2022,Interplay of dinner timing and MTNR1B type 2 diabetes risk variant on glucose tolerance and insulin secretion,Diabetes Care,10.2337/dc21-1314,primary outcomes,full text
Gibbs_2014_primary,Gibbs_2014,2014,Diurnal postprandial responses to low and high glycaemic index mixed meals,Clinical Nutrition,10.1016/j.clnu.2013.09.018,primary outcomes,full text
Gu_2020_primary,Gu_2020,2020,Metabolic effects of late dinner in healthy volunteers—a randomized crossover clinical trial,Journal of Clinical Endocrinology & Metabolism,10.1210/clinem/dgaa354,primary outcomes,full text
Haldar_2020_primary,Haldar_2020,2020,High or low glycemic index meals at dinner result in greater postprandial glycemia compared with breakfast,BMJ Open Diabetes Research & Care,10.1136/bmjdrc-2019-001099,primary outcomes,full text
Haldar_2023_secondary,Haldar_2020,2023,Chronometabolism: the timing of meal consumption has a greater influence than glycemic index on the postprandial metabolome,Metabolites,10.3390/metabo13040490,secondary metabolomics report,full text
Jarrett_1972_primary,Jarrett_1972,1972,"Diurnal variation in oral glucose tolerance: blood sugar and plasma insulin levels morning, afternoon, and evening",British Medical Journal,,primary outcomes,full text
Lopez_Minguez_2018_primary,Lopez_Minguez_2018,2018,Late dinner impairs glucose tolerance in MTNR1B risk allele carriers: a randomized crossover study,Clinical Nutrition,10.1016/j.clnu.2017.04.003,primary outcomes,full text
Nakamura_2021_primary,Nakamura_2021,2021,Eating dinner early improves 24-h blood glucose levels and boosts lipid metabolism after breakfast the next day: a randomized cross-over trial,Nutrients,10.3390/nu13072424,primary outcomes,full text
Pizinger_2018_primary,Pizinger_2018,2018,"Pilot study of sleep and meal timing effects, independent of sleep duration and food intake, on insulin sensitivity in healthy adults",Sleep Health,10.1016/j.sleh.2017.10.005,primary outcomes,full text
Saad_2012_primary,Saad_2012,2012,Diurnal pattern to insulin secretion and insulin action in healthy individuals,Diabetes,10.2337/db11-1478,primary outcomes,full text
Sato_2011_primary,Sato_2011,2011,Acute effect of late evening meal on diurnal variation of blood glucose and energy metabolism,Obesity Research & Clinical Practice,10.1016/j.orcp.2011.02.001,primary outcomes,full text
Service_1983_primary,Service_1983,1983,"Effects of size, time of day and sequence of meal ingestion on carbohydrate tolerance in normal subjects",Diabetologia,10.1007/BF00252690,primary outcomes,full text
Stutz_2024_primary,Stutz_2024,2024,Glycemic response to meals with a high glycemic index differs between morning and evening: a randomized cross-over controlled trial among students with early or late chronotype,European Journal of Nutrition,10.1007/s00394-024-03372-4,primary outcomes,full text
Sulaimani_2025_primary,Sulaimani_2025,2025,"Time-of-day-dependent effects of a green tea extract on postprandial glycemia and insulinemia in healthy adults: a randomized, controlled, double-blind, cross-over intervention",Food & Function,10.1039/d4fo04843a,primary outcomes,full text
Yadav_2023_primary,Yadav_2023,2023,Impaired diurnal pattern of meal tolerance and insulin sensitivity in type 2 diabetes: implications for therapy,Diabetes,10.2337/db22-0238,primary outcomes,full text
