"comparison_id","study_id","later_minus_earlier","unit","robustness_class","data_status"
"Garaulet_OGTT","Garaulet_2022",23,"mg×h/dL","positive CI excludes zero across r=0.25–0.75","graph_digitized"
"Gibbs_high","Gibbs_2014",133,"mmol/L·h (as printed)","positive CI excludes zero across r=0.25–0.75","reported_table"
"Gibbs_low","Gibbs_2014",167,"mmol/L·h (as printed)","positive CI excludes zero across r=0.25–0.75","reported_table"
"Haldar_high","Haldar_2020",284.41,"not explicitly printed; likely mmol/L×min","positive CI excludes zero across r=0.25–0.75","reported_table"
"Haldar_low","Haldar_2020",207.1,"not explicitly printed; likely mmol/L×min","positive CI excludes zero across r=0.25–0.75","reported_table"
"Nakamura_dinner_day2","Nakamura_2021",2100,"mg/3hour/dL (as figure)","CI conclusion changes across assumed correlations","graph_digitized"
"Pizinger_late_sleep","Pizinger_2018",614,"mg/dL×180 min","CI includes zero across r=0.25–0.75","reported_table"
"Pizinger_normal_sleep","Pizinger_2018",1535,"mg/dL×180 min","CI includes zero across r=0.25–0.75","reported_table"
"Sato_dinner","Sato_2011",1995,"mg/dL×min","CI includes zero across r=0.25–0.75","reported_table"
"Service_large","Service_1983",411.1,"mmol·L⁻¹·300 min⁻¹ (as printed)","positive CI excludes zero across r=0.25–0.75","reported_table"
"Service_medium","Service_1983",216.7,"mmol·L⁻¹·300 min⁻¹ (as printed)","positive CI excludes zero across r=0.25–0.75","reported_table"
"Sulaimani_control","Sulaimani_2025",165,"mmol/L×min","positive CI excludes zero across r=0.25–0.75","graph_digitized"
"Sulaimani_GTE","Sulaimani_2025",200,"mmol/L×min","positive CI excludes zero across r=0.25–0.75","graph_digitized"
